year,nerc,month,final co2 (kg),generation (mwh),index,datetime
2006,HICC,12,675185129.0191998,949506.2139999999,711.0907954723506,2006-12-01
2006,MRO,1,13748210160.817692,17346710.15702,792.5543250778281,2006-01-01
2006,MRO,2,13118591865.505606,16110027.684949992,814.3121863012694,2006-02-01
2006,MRO,3,13218658354.648296,16893193.89593,782.4842617731989,2006-03-01
2006,MRO,4,11823244598.934729,15044887.41501,785.8646111993435,2006-04-01
2006,MRO,5,12765185914.314835,15849424.627019996,805.4037427045035,2006-05-01
2006,MRO,6,13694081936.044325,17282552.33793,792.3645575190845,2006-06-01
2006,MRO,7,15895407141.976423,20004788.64306,794.5801090725749,2006-07-01
2006,MRO,8,15065736243.485714,19093814.31703,789.0375381962526,2006-08-01
2006,MRO,9,12474710106.233385,15563411.241020001,801.5408648557828,2006-09-01
2006,MRO,10,13188040396.336784,16283811.179000001,809.8865954270215,2006-10-01
2006,MRO,11,13847789284.658623,15772399.066009996,877.97609144325,2006-11-01
2006,MRO,12,14603781710.225906,18253449.24101,800.056006807503,2006-12-01
2006,NPCC,1,7772182605.914799,22592932.443980005,344.00946513633,2006-01-01
2006,NPCC,2,7139168900.659982,20880857.30399,341.900181430568,2006-02-01
2006,NPCC,3,7626538648.710181,22306069.58401,341.90418979851245,2006-03-01
2006,NPCC,4,6311108976.485335,19540023.287010003,322.98369780761175,2006-04-01
2006,NPCC,5,6789419181.287479,21550563.898989998,315.0460105410827,2006-05-01
2006,NPCC,6,8492919763.343115,24084378.16502,352.6318888182124,2006-06-01
2006,NPCC,7,11161079878.57106,29014280.660040006,384.67539517333915,2006-07-01
2006,NPCC,8,10273860505.964294,27350623.472959995,375.6353311697437,2006-08-01
2006,NPCC,9,7527660335.476965,22446691.587,335.3572309888469,2006-09-01
2006,NPCC,10,7736958365.294874,21730618.297990005,356.0394950202826,2006-10-01
2006,NPCC,11,7118099786.0891905,20838142.24398,341.5899413080147,2006-11-01
2006,NPCC,12,7336677560.965665,22063816.297989998,332.5207870604884,2006-12-01
2006,RFC,1,55417412002.36804,85529016.64797002,647.9369712674387,2006-01-01
2006,RFC,2,52794127213.5874,80056318.34297,659.4623423401961,2006-02-01
2006,RFC,3,54828051047.434685,81610009.52103002,671.8299797931783,2006-03-01
2006,RFC,4,46763790393.744484,71673359.07505001,652.4570774585516,2006-04-01
2006,RFC,5,50143122441.73563,78608972.57998,637.8803945149893,2006-05-01
2006,RFC,6,55633206503.09981,85841790.50101998,648.090005793143,2006-06-01
2006,RFC,7,65389742247.43426,99088361.61304003,659.913446775862,2006-07-01
2006,RFC,8,65521280921.14083,98435000.72804996,665.62991249585,2006-08-01
2006,RFC,9,50026553682.93422,77571884.42703997,644.9057419764833,2006-09-01
2006,RFC,10,52030447037.17441,79059413.03094,658.1183067576309,2006-10-01
2006,RFC,11,50190567436.34102,78371335.40402003,640.4199593843658,2006-11-01
2006,RFC,12,53862629217.223114,84676521.93003999,636.0987436603099,2006-12-01
2006,SERC,1,52489402109.68513,87990413.28593001,596.5354650525136,2006-01-01
2006,SERC,2,51629866788.34618,83411033.58097999,618.9812614924749,2006-02-01
2006,SERC,3,51506540041.073654,84049342.18100002,612.8131250587835,2006-03-01
2006,SERC,4,46812206090.61554,78590884.78104004,595.6442177873143,2006-04-01
2006,SERC,5,54680914932.803505,87363315.01903,625.9024731478262,2006-05-01
2006,SERC,6,60762916546.9618,97719297.38804004,621.8108211080797,2006-06-01
2006,SERC,7,67835851808.4544,109370088.52706,620.2413541218874,2006-07-01
2006,SERC,8,69833835834.96187,111441888.77697,626.6390187869229,2006-08-01
2006,SERC,9,55195635279.90005,88860063.20105998,621.1523297593337,2006-09-01
2006,SERC,10,52879840885.901054,84701807.36698999,624.3059331282865,2006-10-01
2006,SERC,11,51303258170.221214,82732171.80508,620.1125517542747,2006-11-01
2006,SERC,12,55957575010.32958,89756945.47699,623.434484239159,2006-12-01
2006,SPP,1,12651480741.813814,15191383.474009998,832.8063578579563,2006-01-01
2006,SPP,2,11516005182.827639,14833638.93499,776.3439054501566,2006-02-01
2006,SPP,3,11551766832.343681,15118097.227009997,764.1019011112915,2006-03-01
2006,SPP,4,11094285938.900635,15458523.804969998,717.6808134379405,2006-04-01
2006,SPP,5,13195998983.072117,17955078.10202,734.9452287588506,2006-05-01
2006,SPP,6,15343752275.071344,20035072.31502,765.8446165711296,2006-06-01
2006,SPP,7,17497880277.731625,23153623.420979995,755.7296739082497,2006-07-01
2006,SPP,8,17384493970.206734,23267207.99898,747.167170679389,2006-08-01
2006,SPP,9,13344185709.837183,17068615.784989998,781.7965954551482,2006-09-01
2006,SPP,10,13092188849.129324,16534450.468000002,791.8127593334493,2006-10-01
2006,SPP,11,12654084146.464317,15560117.60598,813.2383357823178,2006-11-01
2006,SPP,12,14188834007.90794,17689101.373979993,802.1229404439496,2006-12-01
2006,TRE,1,14441283601.183706,23463584.766010005,615.4764391374564,2006-01-01
