plant id,lat,lon,nerc,state
1264,39.4578,-98.1122,SPP,KS
126,32.16,-110.9047,WECC,AZ
1124,41.409,-95.0,MRO,IA
127,34.0825,-99.1753,TRE,TX
1265,38.7551,-95.8368,SPP,KS
1276,37.56681,-95.237499,SPP,KS
1283,38.6658,-96.9492,SPP,KS
1270,39.373965999999996,-97.127211,SPP,KS
1285,39.3582,-99.8417,SPP,KS
1292,38.080332,-99.893587,SPP,KS
1299,38.176167,-99.09998399999999,SPP,KS
1160,41.9067,-95.0347,MRO,IA
1188,42.186076,-93.600479,MRO,IA
118,32.5517,-111.3,WECC,AZ
1295,39.1492,-94.6381,SPP,KS
1239,37.072616,-94.698704,SPP,KS
1198,42.471022,-93.81499000000001,MRO,IA
10773,37.118674,-79.273551,SERC,VA
10781,42.945664,-114.795698,WECC,ID
108,37.9308,-100.9725,SPP,KS
10789,30.0552,-93.7579,SERC,TX
10777,40.368338,-120.264848,WECC,CA
10772,38.8319,-121.313652,WECC,CA
10790,28.675088,-96.956014,TRE,TX
1081,41.54,-90.4481,MRO,IA
10805,40.6781,-74.2744,RFC,NJ
10643,40.7376,-74.1255,RFC,NJ
10627,34.221213,-91.907365,SERC,AR
10820,33.537921999999995,-117.70585,WECC,CA
1079,41.671877,-91.563999,MRO,IA
10801,34.404006,-82.233581,SERC,SC
10817,43.583611,-75.339167,NPCC,NY
10800,34.616521999999996,-82.447913,SERC,SC
10807,42.836046,-114.26795200000001,WECC,ID
10678,39.595171,-78.745333,RFC,MD
10673,21.303419,-158.106528,HICC,HI
10823,42.353333,-70.962778,NPCC,MA
10838,43.442871000000004,-72.056,NPCC,NH
10806,42.622513,-114.50093000000001,WECC,ID
10652,40.879719,-121.72034199999999,WECC,CA
10811,32.679269,-117.122447,WECC,CA
10737,42.50136,-120.98943999999999,WECC,OR
10824,42.38697,-71.802462,NPCC,MA
1068,42.0474,-92.859444,MRO,IA
10671,35.1931,-94.6458,SPP,OK
1082,41.18,-95.8408,MRO,IA
10819,42.962672,-85.49407099999999,RFC,MI
10810,32.7353,-117.2083,WECC,CA
10686,47.234825,-93.53716899999999,MRO,MN
10822,44.604921000000004,-84.690578,RFC,MI
10693,38.159,-75.704,RFC,MD
10836,38.6905,-121.7371,WECC,CA
10751,39.9175,-75.1192,RFC,NJ
10745,43.5861,-84.2242,RFC,MI
10839,44.358047,-71.5449,NPCC,NH
10825,42.40439,-71.687218,NPCC,MA
10699,32.2268,-88.0252,SERC,AL
10840,35.7144,-119.2337,WECC,CA
10700,44.918063000000004,-68.63554,NPCC,ME
10741,29.6255,-95.06700000000001,TRE,TX
10763,32.7757,-115.2637,WECC,CA
10739,40.488484,-84.3183,RFC,OH
1084,41.590218,-93.619499,MRO,IA
10720,32.819675,-117.140548,WECC,CA
10746,39.8265,-75.3882,RFC,PA
10728,44.0867,-70.2297,NPCC,ME
10771,37.297834,-77.28298199999999,SERC,VA
10752,43.849028999999994,-73.420701,NPCC,NY
10755,39.5173,-107.7299,WECC,CO
10764,40.8786,-123.9942,WECC,CA
10735,43.561001,-116.121269,WECC,ID
10766,45.2537,-68.62791999999999,NPCC,ME
10776,34.1958,-119.1664,WECC,CA
10620,43.9842,-75.6225,NPCC,NY
10632,33.1646,-115.616,WECC,CA
10795,34.2338,-80.6558,SERC,SC
10765,44.6781,-67.5477,NPCC,ME
1176,42.0507,-90.3942,MRO,IA
1177,43.08713,-95.62595999999999,MRO,IA
1291,37.923076,-95.425572,SPP,KS
1191,42.8464,-92.0978,MRO,IA
1184,43.405,-95.7261,MRO,IA
10837,36.755896,-120.365422,WECC,CA
1192,42.1926,-92.4636,MRO,IA
1186,43.144585,-95.144257,MRO,IA
1187,42.01667,-93.16333,MRO,IA
1297,38.531667,-99.30833299999999,SPP,KS
1202,41.587748,-91.019456,MRO,IA
12,33.2553,-87.4495,SERC,AL
120,32.7214,-114.7106,WECC,AZ
1194,42.1697,-92.0222,MRO,IA
10743,39.6397,-79.96055600000001,RFC,WV
1203,41.3372,-94.0126,MRO,IA
1206,41.1136,-94.3472,MRO,IA
10848,41.559979999999996,-74.195154,NPCC,NY
10748,36.7131,-121.7686,WECC,CA
1224,39.7581,-101.5319,SPP,KS
1230,37.1611,-100.7619,SPP,KS
10759,33.158153000000006,-115.63865600000001,WECC,CA
1241,38.3481,-94.6456,SPP,KS
124,32.252272999999995,-110.992148,WECC,AZ
1242,37.5967,-97.413611,SPP,KS
1077,42.047333,-92.859444,MRO,IA
1250,39.0072,-95.26916700000001,SPP,KS
1233,37.7328,-99.9497,SPP,KS
10774,36.6525,-76.9953,SERC,VA
1261,37.678453999999995,-96.97193,SPP,KS
10784,45.9752,-106.6547,WECC,MT
1259,37.193787,-99.76307299999999,SPP,KS
1263,39.832769,-97.632038,SPP,KS
10767,36.688915,-119.72321799999999,WECC,CA
1266,38.193441,-95.749953,SPP,KS
1262,38.7745,-95.1867,SPP,KS
