plant id,state,lat,lon,nerc
381,CA,37.809388,-120.299254,WECC
382,CA,37.877667,-119.953233,WECC
383,CA,32.968889,-115.534444,WECC
384,IL,41.494636,-88.123827,RFC
385,CA,32.705435,-115.030975,WECC
386,CA,32.705428,-115.126103,WECC
387,CA,32.705341,-115.219067,WECC
388,CA,32.736642,-114.713858,WECC
389,CA,32.802222,-115.54,WECC
391,CA,37.142795,-118.324075,WECC
392,CA,34.587237,-118.656638,WECC
393,CA,37.437921,-118.556988,WECC
394,CA,36.443421,-118.04389,WECC
396,CA,34.318248,-118.494449,WECC
397,CA,34.103931,-118.413377,WECC
398,CA,36.109722,-117.956667,WECC
399,CA,33.7706,-118.2656,WECC
400,CA,33.764741,-118.09913,WECC
401,CA,37.51,-118.569167,WECC
402,CA,37.41416,-118.523889,WECC
403,CA,34.260527,-118.385531,WECC
404,CA,33.918151,-118.427648,WECC
407,CA,37.546036,-118.590001,WECC
408,CA,34.244991,-118.391327,WECC
409,CA,37.584345,-120.26859,WECC
410,CA,37.522065,-120.31009,WECC
412,CA,39.177903,-120.890856,WECC
413,CA,39.2184,-120.8352,WECC
414,CA,38.202569,-120.076983,WECC
415,CA,38.246656,-120.034072,WECC
416,CA,37.876111,-120.605,WECC
417,CA,39.551012,-121.278784,WECC
418,CA,39.531784,-121.491247,WECC
419,CA,39.553811,-121.204077,WECC
420,CA,34.1254,-118.148,WECC
422,CA,34.126,-118.1494,WECC
424,CA,39.077971,-120.406069,WECC
425,CA,39.024801,-120.596383,WECC
426,CA,39.003372,-120.746651,WECC
427,CA,39.000999,-120.725053,WECC
428,CA,37.477838,-120.444492,WECC
430,CA,38.82881,-120.537089,WECC
431,CA,38.83405,-120.53176,WECC
432,CA,38.982697,-120.324503,WECC
433,CA,38.896511,-120.378292,WECC
435,CA,38.765336,-120.787366,WECC
436,CA,34.2056,-117.3344,WECC
437,CA,39.542985,-121.492188,WECC
438,CA,39.514893,-121.630077,WECC
439,CA,37.695994,-120.420152,WECC
440,CA,37.6697,-120.4436,WECC
441,CA,38.70675,-121.158443,WECC
442,CA,40.646934,-122.626973,WECC
443,CA,40.611858,-122.446441,WECC
444,CA,38.63735,-121.220198,WECC
445,CA,40.717455,-122.422274,WECC
446,CA,37.098671,-121.047718,WECC
447,CA,34.295334,-114.140222,WECC
448,CA,37.0692,-121.0772,WECC
450,CA,40.628115,-122.467509,WECC
451,CA,40.797296,-122.762553,WECC
454,CA,39.330833,-121.191666,WECC
455,CA,39.238996,-121.270409,WECC
457,CA,33.166246,-117.016566,WECC
460,CO,38.2667,-104.6144,WECC
462,CO,38.4344,-105.25,WECC
464,CO,37.4594,-105.8947,WECC
465,CO,39.67,-105.0028,WECC
466,CO,40.004725,-105.332495,WECC
467,CO,39.6551,-105.7088,WECC
468,CO,39.127778,-108.326111,WECC
469,CO,39.807275,-104.964548,WECC
470,CO,38.2081,-104.5747,WECC
471,CO,39.1364,-108.7347,WECC
472,CO,39.6919,-105.6978,WECC
473,CO,39.101667,-108.345556,WECC
474,CO,38.53419,-106.182003,WECC
476,CO,39.57013,-107.226876,WECC
477,CO,40.0195,-105.202,WECC
478,CO,39.737348,-105.016991,WECC
479,CA,33.8343,-117.4971,WECC
480,CA,33.85895,-117.6106,WECC
481,CA,33.8361,-117.1831,WECC
482,CA,34.004722,-118.09917,WECC
483,CA,33.92493,-117.95517,WECC
484,CA,33.3944,-117.1889,WECC
487,CA,33.9001,-117.82905,WECC
489,CA,37.6508,-120.4706,WECC
492,CO,38.824444,-104.833333,WECC
493,CO,38.881389,-104.816944,WECC
494,CO,38.855556,-104.933056,WECC
495,CO,38.841354,-104.973802,WECC
496,CO,38.7314,-108.0708,WECC
499,CA,37.643611,-120.7575,WECC
502,CO,38.032717,-102.073659,WECC
504,CO,40.9505,-102.2795,WECC
505,WY,43.417872,-108.177545,WECC
506,CO,37.9876,-103.5468,WECC
507,CO,38.0647,-103.2159,WECC
508,CO,38.033327,-102.537915,WECC
510,CA,38.7903,-122.7559,WECC
511,CO,37.178979,-104.487492,WECC
512,CO,38.453191,-107.337483,WECC
513,CO,40.376771,-105.509665,WECC
514,CO,38.451753,-107.539299,WECC
515,CO,40.421031,-105.223804,WECC
516,CO,39.878805,-106.332725,WECC
517,CO,40.34408,-105.534308,WECC
518,CO,40.364996,-105.236032,WECC
519,CO,40.365056,-105.325074,WECC
520,CO,39.19366,-108.044088,WECC
521,CO,39.143808,-108.004777,WECC
524,CO,40.14,-102.7106,WECC
525,CO,40.4856,-107.185,WECC
527,CO,38.2383,-108.5069,WECC
529,CA,38.340015,-121.113861,WECC
531,CA,39.048802,-121.316966,WECC
533,AL,31.400255,-86.476449,SERC
534,CA,38.850283,-120.381883,WECC
535,CA,38.652731,-121.393336,WECC
537,CA,38.2268,-121.0245,WECC
539,CT,41.5826,-73.4349,NPCC
540,CT,41.2925,-72.7942,NPCC
541,CT,41.659046,-73.491984,NPCC
542,CT,41.0289,-73.5989,NPCC
544,CT,41.209797,-73.108976,NPCC
546,CT,41.4281,-72.1019,NPCC
547,MA,42.610683,-72.471643,NPCC
548,CT,41.072442,-73.411001,
550,WA,48.620336,-118.111059,WECC
551,CT,41.6651,-72.1221,NPCC
552,CT,41.44842,-73.295321,NPCC
553,CT,41.3833,-73.1714,NPCC
554,CT,41.5725,-72.0458,NPCC
557,CT,41.555425,-72.041829,NPCC
559,CT,41.915312,-72.693616,NPCC
560,CT,41.957272,-73.369297,NPCC
561,CT,41.798943,-73.116267,NPCC
562,CT,41.554944,-72.579075,NPCC
563,CT,41.7495,-72.6524,NPCC
564,FL,28.4822,-81.1678,FRCC
565,CT,41.776109,-73.120886,NPCC
566,CT,41.3107,-72.1677,NPCC
