nerc,year,month,ngcc,turbine,other,total,ngcc fraction,turbine fraction,other fraction,datetime
SERC,2013,1,51041.0,39948.799999999996,19645.7,110635.49999999999,0.46134378205910404,0.3610848235873657,0.1775713943535303,2013-01-01
SERC,2013,2,51041.0,39948.799999999996,19211.7,110201.49999999999,0.4631606647822399,0.36250686242927727,0.17433247278848293,2013-02-01
SERC,2013,3,51041.0,39937.799999999996,19211.7,110190.49999999999,0.46320690077638277,0.36244322332687484,0.1743498758967425,2013-03-01
SERC,2013,4,51041.0,39937.799999999996,19211.7,110190.49999999999,0.46320690077638277,0.36244322332687484,0.1743498758967425,2013-04-01
SERC,2013,5,51041.0,39937.799999999996,19211.7,110190.49999999999,0.46320690077638277,0.36244322332687484,0.1743498758967425,2013-05-01
SERC,2013,6,51041.0,39921.799999999996,19151.7,110114.49999999999,0.46352660185534156,0.36254807495833885,0.17392532318631973,2013-06-01
SERC,2013,7,51041.0,39893.799999999996,19151.2,110085.99999999999,0.463646603564486,0.3623875878858347,0.17396580854967938,2013-07-01
SERC,2013,8,51041.0,39920.299999999996,19151.2,110112.49999999999,0.46353502100124877,0.36254103757520717,0.17392394142354414,2013-08-01
SERC,2013,9,51041.0,39920.299999999996,19151.2,110112.49999999999,0.46353502100124877,0.36254103757520717,0.17392394142354414,2013-09-01
SERC,2013,10,51041.0,39920.299999999996,19151.2,110112.49999999999,0.46353502100124877,0.36254103757520717,0.17392394142354414,2013-10-01
SERC,2013,11,51041.0,39920.299999999996,18607.2,109568.49999999999,0.4658364402177634,0.36434102867156165,0.16982253111067508,2013-11-01
SERC,2013,12,51648.0,39880.299999999996,18186.2,109714.49999999999,0.4707490805682021,0.3634916077637869,0.16575931166801108,2013-12-01
SERC,2014,1,51648.0,40020.7,18182.0,109850.7,0.47016541542293316,0.3643190257321983,0.16551555884486854,2014-01-01
SERC,2014,2,51648.0,40020.7,18182.0,109850.7,0.47016541542293316,0.3643190257321983,0.16551555884486854,2014-02-01
SERC,2014,3,51668.0,40025.2,18182.0,109875.2,0.47024260251630945,0.36427874534016774,0.16547865214352284,2014-03-01
SERC,2014,4,51668.0,40025.2,18182.0,109875.2,0.47024260251630945,0.36427874534016774,0.16547865214352284,2014-04-01
SERC,2014,5,51668.0,40025.2,18182.0,109875.2,0.47024260251630945,0.36427874534016774,0.16547865214352284,2014-05-01
SERC,2014,6,51668.0,40025.2,18181.4,109874.6,0.4702451704033507,0.36428073458287896,0.16547409501377025,2014-06-01
SERC,2014,7,51668.0,40027.2,18177.5,109872.7,0.4702533022306724,0.36430523687867866,0.1654414608906489,2014-07-01
SERC,2014,8,51668.0,40027.2,18177.5,109872.7,0.4702533022306724,0.36430523687867866,0.1654414608906489,2014-08-01
SERC,2014,9,52223.2,40027.2,18177.5,110427.9,0.47291671760488063,0.3624736140051563,0.16460966838996305,2014-09-01
SERC,2014,10,52209.2,40015.2,18177.5,110401.9,0.4729012815902625,0.3624502839172152,0.16464843449252234,2014-10-01
SERC,2014,11,52209.2,40015.2,18177.5,110401.9,0.4729012815902625,0.3624502839172152,0.16464843449252234,2014-11-01
SERC,2014,12,52209.2,40015.2,18177.5,110401.9,0.4729012815902625,0.3624502839172152,0.16464843449252234,2014-12-01
SERC,2015,1,54241.600000000006,39876.799999999996,18186.7,112305.09999999999,0.48298429902114876,0.3550755931832125,0.16194010779563886,2015-01-01
SERC,2015,2,54241.600000000006,39876.799999999996,18186.7,112305.09999999999,0.48298429902114876,0.3550755931832125,0.16194010779563886,2015-02-01
SERC,2015,3,54241.600000000006,39873.299999999996,18186.7,112301.59999999999,0.48299935174565645,0.35505549342128695,0.16194515483305671,2015-03-01
SERC,2015,4,54241.600000000006,39873.299999999996,18186.7,112301.59999999999,0.48299935174565645,0.35505549342128695,0.16194515483305671,2015-04-01
SERC,2015,5,54241.600000000006,39873.299999999996,18186.7,112301.59999999999,0.48299935174565645,0.35505549342128695,0.16194515483305671,2015-05-01
SERC,2015,6,54241.600000000006,39873.299999999996,17957.7,112072.59999999999,0.48398627318363285,0.3557809848259075,0.16023274199045978,2015-06-01
SERC,2015,7,54904.600000000006,39897.299999999996,17805.7,112607.59999999999,0.48757455091841057,0.3543037947705128,0.15812165431107672,2015-07-01
SERC,2015,8,54904.600000000006,39897.299999999996,17805.7,112607.59999999999,0.48757455091841057,0.3543037947705128,0.15812165431107672,2015-08-01
SERC,2015,9,54904.600000000006,39905.09999999999,17805.7,112615.4,0.48754078039060383,0.3543485171655031,0.15811070244389314,2015-09-01
SERC,2015,10,54904.600000000006,39905.09999999999,17690.7,112500.4,0.4880391536385649,0.35471073880626197,0.15725010755517316,2015-10-01
SERC,2015,11,54904.600000000006,39905.09999999999,17690.7,112500.4,0.4880391536385649,0.35471073880626197,0.15725010755517316,2015-11-01
SERC,2015,12,54904.600000000006,39905.09999999999,17690.7,112500.4,0.4880391536385649,0.35471073880626197,0.15725010755517316,2015-12-01
SERC,2016,1,54904.600000000006,40043.5,17697.0,112645.1,0.48741223541902845,0.3554837272105045,0.15710403737046705,2016-01-01
SERC,2016,2,54904.600000000006,40043.5,17697.0,112645.1,0.48741223541902845,0.3554837272105045,0.15710403737046705,2016-02-01
SERC,2016,3,54904.600000000006,40071.5,17690.0,112666.1,0.4873213859359648,0.35566599003604454,0.15701262402799065,2016-03-01
SERC,2016,4,54904.600000000006,40071.5,17691.3,112667.40000000001,0.48731576303349505,0.35566188622440914,0.15702235074209575,2016-04-01
SERC,2016,5,56275.700000000004,40071.5,17691.3,114038.50000000001,0.4934798335649802,0.3513857162274144,0.1551344502076053,2016-05-01
SERC,2016,6,56275.700000000004,40043.3,16903.2,113222.2,0.4970376834225091,0.35367003997449264,0.14929227660299837,2016-06-01
SERC,2016,7,56275.700000000004,40043.3,16811.2,113130.2,0.49744188554426677,0.35395765233332926,0.1486004621224041,2016-07-01
SERC,2016,8,56275.700000000004,40026.3,16811.2,113113.2,0.4975166470403101,0.3538605573885276,0.14862279557116234,2016-08-01
SERC,2016,9,56180.700000000004,40026.3,16811.2,113018.2,0.49709427331173217,0.3541580028703342,0.14874772381793375,2016-09-01
SERC,2016,10,56180.700000000004,40026.3,15511.0,111718.0,0.5028795717789435,0.3582797758642296,0.13884065235682702,2016-10-01
