year,nerc,month,type,generation (mwh),total fuel (mmbtu),elec fuel (mmbtu)
2016,SERC,4,HYC,964003.0593957813,,
2016,SERC,4,NG,654777.8372437381,13953554.617920483,5710516.406751421
2016,SERC,4,OOG,22568.441959692223,,
2016,SERC,4,OTH,112169.68894063868,,
2016,SERC,4,PC,17144.615000000005,354109.0,86969.0
2016,SERC,4,PEL,5698.938612704681,63412.77210221157,37356.72518088217
2016,SERC,4,SUN,306886.44999999995,,
2016,SERC,4,WAS,141764.20107355432,,
2016,SERC,4,WND,3171.5639182868076,,
2016,SERC,4,WWW,474583.4889489516,,
2016,SERC,5,COW,131404.24695514466,3594823.1735939393,1143617.6043916307
2016,SERC,5,HYC,1045952.8864742826,,
2016,SERC,5,NG,699678.0923256121,14688306.987701314,6223038.1347100455
2016,SERC,5,OOG,11413.957562341779,,
2016,SERC,5,OTH,119003.6141206582,,
2016,SERC,5,PC,18695.560000000012,382686.0,94836.0
2016,SERC,5,PEL,7722.759976238138,114832.38621434305,55329.7158082226
2016,SERC,5,SUN,373389.17,,
2016,SERC,5,WAS,149819.7819874472,,
2016,SERC,5,WND,3152.56073588617,,
2016,SERC,5,WWW,522097.07356515795,,
2016,SERC,6,COW,164134.43215017923,4505488.69941427,1475434.307525355
2016,SERC,6,HYC,990676.8174746945,,
2016,SERC,6,NG,795701.2596085303,15662817.062439231,7034510.746363196
2016,SERC,6,OOG,16069.115331222198,,
2016,SERC,6,OTH,115872.50613784567,,
2016,SERC,6,PC,19126.615000000034,406560.0,97020.0
2016,SERC,6,PEL,9038.496895379767,176898.6949266211,68563.11529404054
2016,SERC,6,SUN,394852.31,,
2016,SERC,6,WAS,144479.23482706246,,
2016,SERC,6,WND,2936.3605951318777,,
2016,SERC,6,WWW,544184.5478155144,,
2016,SERC,7,COW,260504.7263591789,4918171.841564918,2419496.204234247
2016,SERC,7,HYC,1080885.9709903745,,
2016,SERC,7,NG,1335625.5411548652,20238985.26280014,11434066.397074133
2016,SERC,7,OOG,17324.161326020254,,
2016,SERC,7,OTH,122699.08871503771,,
2016,SERC,7,PC,19994.85900000001,448169.0,101429.0
2016,SERC,7,PEL,10895.228441240217,193296.51534141522,84047.3555885132
2016,SERC,7,SUN,438488.5540492901,,
2016,SERC,7,WAS,150780.81032518018,,
2016,SERC,7,WND,2668.053367518961,,
2016,SERC,7,WWW,567854.9327421214,,
